production_line,material_type,shift,temp_sensor_1,temp_sensor_2,pressure_sensor,humidity,vibration_sensor,processing_time_sec,power_consumption_kw,operator_experience_yr,yield_pct
Line-C,Type-X,야간,213.32,209.42,1.506,50.7,0.13,106.8,231.2,2,86.73
Line-B,Type-Z,주간,183.91,186.31,1.797,29.9,0.164,85.9,183.6,13,90.82
Line-C,Type-Y,야간,202.36,198.88,2.015,53.8,0.073,109.3,248.3,4,82.71
Line-B,Type-Y,주간,181.14,183.25,1.866,41.2,0.515,114.4,239.2,10,91.37
Line-C,Type-X,야간,199.72,188.39,1.831,55.4,0.159,108.7,240.7,8,86.8
Line-B,Type-Y,야간,215.94,216.61,1.697,49.3,0.932,98.6,194.1,1,84.02
Line-A,Type-X,주간,180.62,184.53,1.728,,0.545,130.8,268.4,7,92.91
Line-A,Type-X,주간,188.78,187.76,1.63,55.1,0.017,80.0,192.5,8,92.71
Line-A,Type-Y,주간,188.11,178.97,1.442,55.1,0.05,123.2,240.9,6,86.71
Line-C,Type-Z,야간,208.77,205.99,4.0,51.2,0.309,119.8,236.8,9,82.85
Line-C,Type-Z,야간,205.46,205.29,1.739,49.9,0.28,119.5,257.2,7,85.0
Line-B,Type-X,주간,210.23,207.82,1.178,38.9,0.098,105.8,214.3,3,88.48
Line-A,Type-Y,주간,178.92,176.98,1.479,62.6,0.375,134.9,285.7,7,91.0
Line-C,Type-Y,야간,195.75,199.6,4.0,42.6,0.103,129.0,259.9,13,83.04
Line-A,Type-X,주간,181.62,178.6,1.483,64.6,0.176,140.8,286.6,9,94.6
Line-C,Type-Z,야간,206.98,209.62,1.234,49.0,0.249,126.1,262.8,11,86.56
Line-B,Type-Z,주간,185.82,190.69,1.43,56.6,0.203,103.6,228.7,5,89.28
Line-C,Type-Y,야간,233.6,229.25,1.586,56.6,0.215,114.0,242.8,7,83.76
Line-A,Type-X,주간,182.28,188.28,1.254,61.4,0.006,123.3,275.9,11,94.55
Line-B,Type-X,야간,231.39,226.79,1.775,47.8,0.119,121.2,260.1,6,88.62
Line-B,Type-X,주간,195.09,203.96,0.948,69.0,0.472,83.0,189.9,3,90.8
Line-A,Type-Y,주간,189.63,190.84,2.048,51.6,0.048,112.2,232.2,8,89.53
Line-B,Type-Z,야간,203.29,204.58,1.232,47.5,0.655,123.9,251.0,13,88.56
Line-A,Type-Z,주간,213.88,207.82,4.0,43.5,0.503,111.8,241.0,3,85.0
Line-C,Type-Y,주간,189.06,190.69,1.428,47.5,0.391,110.3,234.4,10,86.96
Line-B,Type-Z,주간,290.0,202.22,1.514,47.2,0.497,129.1,272.3,10,78.89
Line-A,Type-X,야간,208.01,210.36,1.992,39.6,0.088,109.3,229.2,6,87.05
Line-A,Type-X,주간,203.63,200.27,1.459,34.8,0.527,123.9,256.6,9,89.37
Line-B,Type-Y,주간,199.45,198.4,1.039,59.5,0.801,132.9,307.7,4,86.2
Line-A,Type-Z,주간,201.17,212.67,1.071,44.4,0.038,108.0,228.5,8,91.74
Line-C,Type-Y,주간,214.76,213.91,1.675,46.6,0.338,100.1,211.1,6,83.39
Line-C,Type-Y,야간,191.45,192.96,4.5,72.6,0.002,155.8,333.1,8,82.79
Line-C,Type-Y,주간,213.55,214.82,2.084,58.2,0.005,129.4,260.8,3,85.68
Line-B,Type-X,주간,198.94,203.4,1.077,41.7,0.203,137.1,271.9,1,91.53
Line-C,Type-Y,야간,223.46,227.08,1.318,45.3,0.104,106.2,226.5,7,84.83
Line-B,Type-X,야간,216.16,216.8,1.702,50.0,0.086,136.9,285.0,13,90.88
Line-C,Type-X,야간,225.63,231.95,1.089,52.5,0.457,122.1,277.3,10,86.13
Line-B,Type-X,주간,213.64,209.88,1.017,56.8,0.209,132.1,281.7,2,89.9
Line-A,Type-Y,야간,194.06,193.23,2.023,40.0,0.335,81.4,178.9,13,87.94
Line-A,Type-Y,주간,200.46,196.02,1.745,54.5,0.1,136.6,282.0,2,92.89
Line-B,Type-X,주간,209.89,219.21,1.661,47.8,1.047,125.9,267.4,5,88.69
Line-A,Type-X,주간,188.63,,1.654,39.0,0.171,103.3,206.0,13,93.81
Line-B,Type-Z,주간,203.48,206.82,1.023,39.3,0.238,132.4,265.3,15,92.56
Line-C,Type-Z,야간,219.6,222.22,1.413,43.2,0.053,145.1,315.4,9,83.91
Line-B,Type-Z,야간,194.11,192.85,1.166,47.9,0.069,119.4,246.5,6,86.59
Line-C,Type-Y,주간,205.9,,1.261,56.4,0.723,84.1,162.6,1,87.6
Line-A,Type-Y,주간,210.28,201.33,1.211,57.0,0.171,108.4,221.7,9,93.03
Line-A,Type-Y,야간,188.96,192.33,1.181,50.0,0.397,110.5,233.8,7,90.42
Line-C,Type-Y,주간,197.19,189.44,1.726,56.9,0.151,102.5,212.3,11,85.99
Line-A,Type-Y,주간,206.83,200.4,1.753,54.4,0.042,126.2,268.9,2,86.93
Line-B,Type-Y,주간,227.46,223.78,1.476,,0.125,83.1,172.5,12,86.74
Line-A,Type-X,주간,189.73,186.64,1.217,55.2,0.395,103.3,223.9,15,95.68
Line-B,Type-Y,주간,197.97,206.86,1.217,67.0,0.346,83.4,186.3,5,89.57
Line-B,Type-Z,야간,199.85,196.16,1.874,52.3,0.283,121.8,258.7,4,85.52
Line-A,Type-Y,주간,188.94,191.43,1.636,67.7,0.109,118.3,261.4,11,89.17
Line-A,Type-Z,주간,201.13,198.29,1.737,45.6,0.083,119.0,243.2,4,88.29
Line-C,Type-Z,주간,175.18,178.63,1.664,38.3,0.01,154.1,317.8,3,88.67
Line-B,Type-Z,야간,195.55,203.58,1.276,65.9,0.006,128.0,268.2,14,86.75
Line-B,Type-X,주간,193.18,186.89,1.404,49.6,0.235,117.9,245.0,15,94.17
Line-B,Type-Y,야간,185.39,185.57,1.839,63.4,1.098,104.9,219.9,15,87.08
Line-B,Type-Y,주간,196.71,196.46,1.387,55.2,0.885,118.6,260.5,1,88.3
Line-A,Type-X,주간,201.39,200.64,1.222,48.5,0.875,70.0,144.8,6,92.94
Line-A,Type-Z,주간,193.42,199.29,1.737,60.5,0.027,109.5,242.2,6,89.13
Line-A,Type-X,야간,217.95,,1.614,45.6,0.183,119.8,249.2,4,93.2
Line-B,Type-Z,야간,206.12,208.76,1.098,61.4,0.057,92.5,195.7,3,88.53
Line-B,Type-X,주간,193.66,191.8,1.715,39.4,0.237,131.4,279.4,13,91.05
Line-B,Type-X,주간,197.1,204.88,1.143,53.7,0.095,131.6,247.7,7,89.51
Line-A,Type-Y,야간,201.96,198.68,1.537,44.3,0.891,116.0,243.1,13,87.99
Line-B,Type-X,야간,300.0,224.38,1.968,54.4,0.369,83.3,158.6,3,82.5
Line-B,Type-Z,주간,198.94,204.35,1.387,33.6,0.426,107.0,224.9,2,88.71
Line-B,Type-Y,주간,228.75,225.89,1.086,44.1,0.269,148.1,324.9,4,88.61
Line-A,Type-Z,주간,204.83,197.75,2.032,44.9,0.644,145.5,296.3,8,89.55
Line-B,Type-Y,야간,201.81,193.58,1.324,61.1,0.001,114.2,241.7,8,92.87
Line-A,Type-Z,야간,222.18,221.93,1.642,50.7,0.062,133.1,287.7,6,88.59
Line-C,Type-X,야간,219.57,218.94,1.452,59.9,0.821,124.2,253.9,10,85.69
Line-B,Type-X,주간,176.99,186.48,1.799,46.1,0.026,133.0,274.3,14,94.08
Line-C,Type-Z,주간,201.27,201.05,1.571,38.6,0.098,116.2,237.7,2,86.4
Line-A,Type-Y,야간,207.44,219.91,1.544,34.5,0.643,93.5,203.8,6,84.39
Line-C,Type-Z,야간,187.8,183.39,1.869,31.4,0.228,106.2,236.9,10,84.94
Line-C,Type-Y,야간,186.06,180.68,1.54,58.3,0.35,142.4,304.5,5,82.33
Line-A,Type-Z,주간,221.16,219.5,1.339,50.6,0.056,122.0,269.7,5,86.83
Line-A,Type-Z,야간,213.05,207.06,1.686,49.1,0.08,125.5,279.6,8,88.35
Line-B,Type-Y,주간,195.87,200.92,1.414,32.6,0.06,132.8,282.7,14,89.89
Line-B,Type-X,야간,189.14,183.19,1.996,35.8,0.388,130.3,260.4,5,91.58
Line-B,Type-Z,주간,198.33,194.05,1.811,45.7,0.037,100.8,197.0,1,85.38
Line-A,Type-Y,주간,196.66,194.04,1.424,60.0,0.392,126.5,241.7,1,90.69
Line-A,Type-Z,야간,190.79,,1.871,,0.109,127.9,252.4,15,94.24
Line-C,Type-X,야간,179.41,182.62,1.672,49.6,0.017,97.7,199.8,8,87.69
Line-A,Type-Z,야간,195.14,200.78,1.749,49.6,0.007,88.4,206.6,7,89.1
Line-C,Type-Z,주간,202.67,205.3,1.817,47.1,0.31,122.6,253.6,10,86.01
Line-A,Type-X,주간,191.14,183.28,0.861,47.0,0.043,100.0,210.0,12,93.15
Line-C,Type-Z,야간,208.26,203.78,1.428,61.0,0.099,94.6,202.3,2,84.42
Line-B,Type-X,주간,210.34,211.67,1.697,,0.054,111.1,219.1,8,89.76
Line-B,Type-X,주간,191.0,192.51,1.96,72.1,0.07,115.6,253.1,4,90.26
Line-A,Type-Z,야간,181.37,181.01,1.494,47.9,1.158,94.0,225.0,7,89.41
Line-B,Type-Z,야간,194.82,197.45,1.189,47.9,0.189,95.3,210.5,1,85.96
Line-A,Type-Y,야간,204.44,194.92,1.101,47.9,0.029,123.4,267.6,9,91.73
Line-C,Type-Z,주간,180.06,183.08,2.476,57.1,0.029,118.8,242.6,3,88.75
Line-B,Type-Z,주간,180.44,180.74,1.431,57.6,0.174,108.4,230.0,5,90.48
Line-C,Type-Z,주간,176.62,181.23,1.86,58.8,0.099,103.4,216.2,15,89.4
Line-C,Type-X,주간,194.74,195.2,1.812,30.6,0.108,135.3,280.7,10,89.32
Line-C,Type-Y,주간,280.0,230.62,1.583,50.6,0.101,101.3,212.0,4,81.36
Line-B,Type-Z,야간,191.66,195.46,1.347,52.7,1.067,166.4,351.4,10,87.04
Line-B,Type-Y,야간,219.0,219.22,1.15,67.5,0.162,119.2,239.7,2,86.79
Line-A,Type-Z,야간,222.84,224.87,1.001,50.9,1.248,122.9,270.1,10,87.53
Line-B,Type-Y,주간,184.76,187.34,1.595,44.2,0.38,142.1,296.4,15,91.83
Line-B,Type-X,주간,196.5,195.51,1.541,44.4,0.17,126.2,286.7,14,95.13
Line-A,Type-X,야간,201.12,199.85,1.557,59.6,1.021,110.9,240.1,11,90.14
Line-A,Type-X,야간,199.15,206.87,1.217,58.3,0.129,133.5,281.5,11,92.34
Line-A,Type-Z,주간,196.69,191.39,1.403,37.0,0.837,98.7,188.7,4,88.69
Line-C,Type-Y,주간,180.5,185.58,1.74,45.8,0.086,151.8,311.8,14,92.36
Line-C,Type-Z,야간,178.55,180.19,1.436,75.1,0.051,139.5,292.5,14,85.87
Line-C,Type-Z,주간,223.11,215.25,1.264,56.6,0.411,123.5,264.1,7,83.06
Line-A,Type-Z,주간,202.68,198.26,1.428,55.8,0.19,106.6,215.1,14,90.99
Line-B,Type-Y,주간,215.83,214.97,2.066,49.0,0.04,126.7,259.5,10,91.1
Line-A,Type-Z,주간,200.79,209.1,1.413,44.8,0.934,150.8,297.9,5,89.48
Line-C,Type-Y,야간,233.1,232.09,1.694,45.3,0.046,131.7,279.8,11,85.98
Line-A,Type-Y,주간,178.78,,1.567,,0.225,112.6,231.1,2,90.63
Line-C,Type-Y,야간,195.51,203.84,1.539,37.9,0.37,102.2,225.4,13,86.97
Line-C,Type-Y,야간,206.86,206.91,1.946,34.4,0.002,124.9,270.1,8,83.31
Line-A,Type-Y,주간,200.27,203.92,1.705,42.1,0.23,136.4,309.0,11,92.28
Line-B,Type-Z,야간,197.27,187.81,1.673,64.3,1.519,142.0,303.1,7,83.46
Line-A,Type-Z,야간,210.1,212.2,2.103,58.9,0.017,106.7,228.7,10,87.32
Line-A,Type-Z,주간,204.89,206.02,1.548,55.4,0.207,96.9,210.2,4,88.73
Line-A,Type-X,주간,170.09,172.43,1.44,61.9,0.678,111.2,248.2,1,88.03
Line-C,Type-X,주간,200.65,198.51,1.657,51.4,0.703,156.8,307.3,5,87.93
Line-B,Type-X,주간,194.57,196.95,1.484,56.6,0.032,107.0,233.5,6,93.59
Line-B,Type-Y,야간,205.35,201.33,1.6,63.3,0.497,136.8,297.7,8,86.59
Line-A,Type-Z,주간,160.0,162.48,1.212,49.3,0.308,107.8,214.1,6,91.83
Line-B,Type-Z,야간,209.04,199.7,1.481,64.0,0.067,140.1,295.5,13,88.15
Line-C,Type-Y,야간,201.6,212.08,1.381,63.7,0.072,101.5,230.0,7,85.99
Line-C,Type-Z,야간,205.77,211.8,1.497,35.7,0.281,112.8,226.2,6,85.67
Line-A,Type-Y,야간,189.15,193.97,1.424,42.1,1.393,96.1,206.9,14,89.25
Line-B,Type-Z,야간,221.72,228.33,1.489,57.6,0.201,164.4,352.6,10,87.66
Line-B,Type-X,야간,187.45,187.65,1.135,62.2,0.67,158.9,335.4,2,90.25
Line-A,Type-Y,야간,193.6,190.03,1.326,53.9,0.644,112.3,237.6,11,90.37
Line-B,Type-Y,주간,182.34,184.53,1.616,50.6,0.078,122.4,256.5,5,89.57
Line-B,Type-X,주간,184.68,189.85,1.604,60.4,0.216,124.4,256.9,14,97.06
Line-C,Type-Z,주간,208.36,205.57,1.138,63.2,0.06,135.2,285.4,12,86.56
Line-A,Type-Y,주간,171.34,166.33,1.187,51.0,0.636,90.6,210.7,5,91.95
Line-A,Type-X,주간,204.89,210.2,1.386,53.7,0.058,143.0,290.8,3,92.41
Line-A,Type-Z,주간,210.84,221.93,1.168,48.5,0.553,124.0,249.1,9,90.37
Line-C,Type-X,주간,198.66,202.86,1.655,42.2,0.134,93.8,196.0,8,92.02
Line-A,Type-X,주간,205.05,203.52,1.651,50.5,0.237,135.7,293.2,12,95.15
Line-A,Type-Y,주간,209.66,218.14,0.925,60.4,0.639,88.9,158.3,7,88.91
Line-B,Type-X,야간,202.09,201.59,1.701,30.8,0.055,84.6,185.9,4,88.53
Line-C,Type-Z,주간,174.14,163.03,1.958,66.8,0.645,148.0,309.1,4,83.22
Line-A,Type-Y,주간,206.22,206.13,1.091,57.4,0.145,137.7,302.8,15,92.83
Line-B,Type-Z,주간,219.32,235.29,1.146,55.5,0.003,140.3,286.1,10,91.11
Line-C,Type-Y,야간,210.35,206.24,1.657,36.8,0.102,127.3,274.9,13,84.8
Line-B,Type-X,주간,213.25,222.79,1.162,35.0,0.008,108.1,222.6,7,92.39
Line-B,Type-Y,야간,203.47,211.64,1.352,60.8,0.178,88.1,179.2,4,88.47
Line-C,Type-X,주간,218.22,216.59,1.562,67.1,0.317,116.3,258.9,11,88.82
Line-B,Type-Y,야간,174.72,170.85,1.636,54.3,0.175,114.6,248.4,14,88.85
Line-A,Type-Y,야간,186.41,183.7,1.683,32.6,0.26,144.7,318.0,14,90.71
Line-C,Type-Z,야간,228.21,230.65,1.65,41.9,0.079,147.1,302.7,13,86.0
Line-A,Type-X,야간,204.19,207.64,1.202,43.6,0.277,131.3,278.5,5,91.42
Line-C,Type-X,야간,213.85,206.42,1.333,36.4,0.346,160.5,354.5,11,90.04
Line-A,Type-X,주간,192.38,196.14,2.287,56.5,0.544,70.0,150.8,4,91.2
Line-C,Type-Z,주간,189.11,188.94,1.615,45.3,1.058,116.8,253.0,5,86.39
Line-A,Type-Z,주간,200.44,196.77,1.233,56.9,0.305,133.7,266.8,5,90.57
Line-B,Type-Y,야간,206.61,201.09,1.682,59.1,0.243,129.5,274.0,9,88.51
Line-A,Type-Z,야간,203.43,196.51,1.765,39.2,0.204,109.3,226.0,8,86.8
Line-C,Type-Y,주간,201.88,211.5,1.301,61.6,0.063,82.8,179.5,7,88.82
Line-C,Type-X,야간,197.6,,1.427,39.7,0.026,163.9,359.8,2,91.32
Line-B,Type-X,주간,196.17,189.9,1.598,40.9,0.215,120.8,261.6,15,97.64
Line-C,Type-X,주간,196.37,193.92,1.618,66.8,0.066,122.5,281.3,12,89.87
Line-A,Type-Y,주간,192.15,185.89,1.49,46.6,0.007,120.2,232.5,12,92.23
Line-C,Type-X,주간,192.15,192.38,1.607,34.3,0.492,112.7,236.1,4,88.87
Line-A,Type-Y,주간,202.86,204.01,1.735,31.9,0.068,130.0,270.7,13,91.37
Line-A,Type-Y,야간,208.39,212.33,1.027,33.8,0.033,145.2,295.5,15,92.55
Line-C,Type-Z,주간,194.16,195.76,1.841,57.1,0.157,117.7,251.8,10,87.01
Line-A,Type-Z,야간,183.59,178.86,1.765,51.8,0.802,115.1,238.8,14,90.61
Line-C,Type-Y,주간,212.12,,1.782,51.1,0.234,105.6,228.6,8,85.14
Line-B,Type-Y,야간,196.36,191.79,1.76,,0.425,125.1,269.6,13,89.24
Line-A,Type-Y,주간,180.66,181.97,1.551,57.8,0.082,94.3,197.9,8,93.03
Line-A,Type-Y,주간,280.0,221.85,1.435,52.8,0.106,117.7,235.8,10,87.59
Line-A,Type-Z,주간,209.52,218.2,1.674,41.7,0.543,91.9,208.4,5,88.51
Line-B,Type-Y,야간,198.35,199.04,1.293,57.7,0.163,127.7,278.5,15,89.32
Line-A,Type-Y,주간,197.86,201.47,1.884,50.0,0.158,100.3,202.5,2,87.45
Line-C,Type-Y,주간,192.16,194.0,1.95,45.0,0.086,99.2,192.1,9,86.72
Line-A,Type-X,야간,194.08,191.22,1.146,41.6,0.384,148.2,309.0,10,92.86
Line-C,Type-X,주간,185.48,195.09,1.526,69.2,0.121,141.9,284.3,5,91.3
Line-B,Type-X,야간,191.16,190.36,1.962,66.3,0.426,124.8,262.4,12,88.52
Line-C,Type-X,야간,214.05,210.42,1.489,52.8,0.039,92.5,203.9,4,84.61
Line-B,Type-Z,주간,209.33,204.7,1.218,51.8,0.303,159.6,326.1,2,87.2
Line-C,Type-X,야간,173.59,163.24,1.004,73.0,0.188,142.3,292.0,1,89.09
Line-A,Type-X,야간,280.0,201.33,1.137,52.9,0.248,107.2,238.9,7,87.1
Line-A,Type-X,주간,204.1,208.97,1.356,48.0,0.83,101.1,212.4,13,92.02
Line-A,Type-X,주간,202.54,204.81,1.461,56.7,0.366,123.5,277.0,3,92.73
Line-A,Type-X,야간,206.9,199.03,1.27,54.5,0.022,103.6,212.8,8,87.5
Line-B,Type-Z,야간,192.12,200.48,1.43,67.0,0.203,118.3,249.0,15,89.84
Line-B,Type-Z,주간,213.46,,2.025,42.5,0.058,126.1,256.1,1,88.08
Line-B,Type-Y,주간,180.49,178.05,1.226,46.2,1.05,132.4,278.4,11,88.26
Line-A,Type-Y,주간,209.6,217.26,1.031,60.6,0.094,71.2,147.1,13,91.19
Line-C,Type-X,주간,189.32,181.52,2.111,60.0,0.366,109.6,228.9,5,88.59
Line-C,Type-Y,야간,201.28,207.56,1.774,48.3,0.926,105.4,237.6,5,85.94
Line-A,Type-X,주간,218.99,216.05,1.362,47.3,0.14,128.2,265.2,5,91.56
Line-C,Type-Y,야간,196.24,188.31,1.105,53.6,0.228,112.9,235.3,11,87.41
Line-B,Type-X,주간,217.17,217.44,1.075,54.5,0.444,80.3,157.2,2,90.49
Line-A,Type-X,주간,194.6,200.95,1.589,57.2,0.157,110.3,229.6,5,93.5
Line-B,Type-X,주간,205.04,208.57,1.777,60.2,0.32,129.4,278.0,4,90.12
Line-C,Type-Z,주간,223.14,221.35,1.852,53.3,0.339,112.7,213.9,15,84.23
Line-B,Type-Z,주간,197.71,191.44,1.999,57.2,0.131,119.1,250.3,2,87.26
Line-C,Type-Z,야간,199.79,202.25,1.287,50.1,0.18,129.6,285.3,5,84.15
Line-C,Type-Z,주간,215.24,219.04,1.425,60.8,0.039,81.7,164.0,12,85.89
Line-A,Type-Y,주간,198.17,205.66,1.301,70.7,0.005,108.4,241.6,4,89.8
Line-A,Type-X,야간,191.1,196.38,1.342,57.5,0.055,110.9,230.8,11,92.36
Line-A,Type-Z,야간,215.32,218.18,1.685,60.3,0.013,88.9,169.6,11,90.71
Line-A,Type-X,주간,208.33,214.7,1.887,37.5,0.166,118.4,249.0,8,94.91
Line-C,Type-Z,주간,213.38,209.4,1.667,27.4,0.238,126.9,264.9,1,83.72
Line-C,Type-Z,주간,187.65,186.55,1.069,51.9,0.287,76.4,158.1,14,87.88
Line-A,Type-Y,야간,207.2,203.87,1.177,61.0,0.184,119.5,259.5,14,90.26
Line-B,Type-Y,주간,191.52,192.41,1.452,44.9,0.151,108.7,225.2,3,89.73
Line-C,Type-X,야간,219.13,222.59,1.187,55.8,0.392,118.8,258.5,3,87.38
Line-B,Type-Z,야간,206.47,211.25,1.637,53.7,0.032,120.0,265.1,11,86.86
Line-B,Type-Y,야간,221.86,223.73,1.262,52.3,0.02,120.6,248.1,14,88.48
Line-B,Type-X,야간,205.95,203.17,1.348,62.0,0.475,152.0,312.4,15,91.37
Line-A,Type-Z,주간,194.24,187.61,1.845,44.0,0.086,87.2,171.9,8,91.25
Line-B,Type-X,주간,186.72,180.08,2.126,51.8,0.592,91.3,199.2,9,91.14
Line-B,Type-Y,주간,193.89,194.43,1.609,45.4,0.124,143.3,321.0,6,88.16
Line-C,Type-X,주간,212.76,209.63,1.756,35.0,0.449,132.5,276.0,2,88.61
Line-B,Type-Y,야간,184.11,186.45,2.027,50.1,0.691,138.9,287.1,5,88.13
Line-A,Type-Y,주간,212.53,211.61,1.71,55.6,0.013,73.5,153.0,15,92.29
Line-B,Type-X,주간,227.32,222.09,1.728,57.3,0.015,115.2,223.3,2,91.1
Line-B,Type-Z,주간,222.97,222.53,1.277,54.2,0.359,124.6,241.7,2,85.94
Line-B,Type-Z,주간,194.03,192.67,1.114,69.5,0.446,121.2,256.4,1,87.33
Line-A,Type-Z,주간,197.13,196.46,1.138,54.7,0.233,104.0,208.8,9,91.46
Line-B,Type-X,야간,168.97,175.4,1.577,43.7,0.047,149.2,325.5,6,93.7
Line-B,Type-Z,주간,195.72,197.79,1.537,53.6,0.026,87.2,177.2,3,88.93
Line-B,Type-Y,야간,205.99,198.12,1.737,41.4,0.303,143.6,307.1,13,87.67
Line-A,Type-Z,주간,204.92,199.75,1.502,62.6,0.519,100.3,223.9,9,88.95
Line-C,Type-X,주간,192.71,,1.192,48.1,0.142,94.5,191.5,11,89.54
Line-C,Type-Y,야간,198.34,209.03,1.965,29.5,0.617,79.1,176.7,5,85.78
Line-A,Type-Z,주간,216.92,216.54,1.79,48.3,0.032,127.5,268.0,4,88.26
Line-C,Type-X,야간,175.69,171.69,1.15,60.6,0.314,110.2,233.7,9,87.19
Line-C,Type-X,야간,162.34,153.79,1.562,38.9,0.105,134.0,283.9,11,93.72
Line-B,Type-Y,주간,182.23,167.69,1.249,64.7,0.133,147.1,297.1,14,93.16
Line-C,Type-Y,야간,176.82,,1.71,54.6,0.147,143.7,297.4,3,88.24
Line-B,Type-X,주간,180.64,184.59,1.347,27.2,0.495,118.2,271.5,7,93.87
Line-B,Type-X,야간,195.46,195.46,1.422,51.6,0.419,86.3,177.7,8,91.92
Line-C,Type-Z,주간,199.29,201.45,1.099,64.4,0.79,73.9,162.5,13,84.22
Line-B,Type-X,주간,185.81,,1.936,55.0,0.996,126.2,259.1,11,89.96
Line-A,Type-X,주간,177.82,,1.509,,0.245,131.8,298.5,9,96.89
Line-A,Type-Z,야간,195.58,189.13,1.416,54.0,0.346,129.5,277.7,6,88.15
Line-C,Type-Y,야간,195.4,192.08,1.418,46.5,0.689,141.1,289.4,6,85.38
Line-B,Type-X,주간,191.0,199.5,1.944,48.4,0.235,99.3,208.2,5,90.02
Line-B,Type-X,야간,224.73,216.76,1.657,46.7,0.322,140.7,315.5,13,88.91
Line-A,Type-Y,주간,221.07,,1.567,47.1,0.103,142.4,312.2,3,92.03
Line-C,Type-X,주간,188.4,186.55,1.22,46.1,0.44,145.3,295.9,9,91.23
Line-C,Type-Y,주간,231.5,221.28,1.246,57.0,0.07,116.8,252.5,4,89.44
Line-A,Type-X,주간,219.41,,1.596,55.5,0.022,117.9,245.9,8,91.39
Line-B,Type-Y,주간,193.13,,1.796,70.5,0.674,98.1,210.3,8,87.31
Line-C,Type-X,주간,192.93,190.57,1.407,,0.442,119.8,252.2,5,88.62
Line-C,Type-Z,주간,190.74,186.24,1.181,54.1,0.428,147.8,338.2,9,86.03
Line-B,Type-Y,주간,215.11,210.22,1.502,33.4,0.487,119.7,250.3,5,86.38
Line-B,Type-Y,주간,212.84,209.04,1.237,43.3,0.207,128.0,269.6,13,91.94
Line-C,Type-X,주간,194.12,197.49,1.724,49.8,0.589,111.3,250.4,15,92.11
Line-C,Type-Z,야간,200.79,194.89,1.74,37.9,0.034,101.8,231.5,9,87.24
Line-B,Type-Y,주간,186.49,180.34,1.44,40.4,0.019,153.3,333.7,15,93.09
Line-A,Type-Y,야간,192.49,189.33,1.468,32.9,0.163,108.8,223.1,14,88.35
Line-C,Type-Y,야간,182.8,187.7,1.103,67.7,0.412,70.0,157.3,3,86.17
Line-C,Type-Y,주간,206.04,202.81,1.149,50.8,0.043,89.0,198.0,4,86.11
Line-B,Type-X,야간,179.54,,1.428,52.1,0.207,116.0,250.0,15,92.26
Line-A,Type-Y,야간,204.2,215.99,1.295,67.9,0.541,147.0,313.3,12,86.25
Line-C,Type-Z,주간,229.73,226.91,1.893,44.9,1.408,139.2,300.0,8,83.25
Line-B,Type-Z,주간,192.79,189.7,1.345,54.1,0.062,103.3,226.7,7,88.24
Line-B,Type-Z,주간,201.91,199.23,1.369,71.2,0.047,144.0,312.0,12,90.12
Line-C,Type-Z,야간,205.17,207.45,1.182,57.0,0.202,113.6,236.9,10,84.21
Line-A,Type-X,주간,191.04,189.42,1.142,48.4,0.027,120.4,266.2,15,93.55
Line-C,Type-X,주간,212.64,210.2,1.957,75.6,0.012,170.9,359.4,6,86.46
Line-B,Type-X,주간,190.79,188.08,1.903,58.7,0.118,162.3,329.4,6,90.24
Line-A,Type-Z,주간,196.21,200.79,1.207,53.7,0.263,120.3,252.2,5,90.2
Line-A,Type-Y,주간,240.0,245.71,1.86,57.6,0.182,128.8,283.9,10,87.84
Line-A,Type-Z,주간,202.86,199.79,1.83,42.3,0.039,101.4,210.0,9,87.31
Line-B,Type-X,주간,180.53,183.26,1.049,57.9,0.708,123.4,249.2,2,92.07
Line-A,Type-Z,야간,184.56,184.73,1.348,35.0,0.077,135.6,274.3,12,89.42
Line-A,Type-X,야간,238.27,242.97,1.091,46.1,0.478,104.6,230.9,8,87.31
Line-A,Type-Z,야간,201.3,199.26,1.491,40.0,0.52,98.3,204.9,13,86.22
Line-A,Type-X,야간,192.25,191.36,1.351,56.9,0.242,124.6,271.6,5,92.99
Line-B,Type-Z,주간,191.57,196.71,1.854,47.2,0.149,128.5,259.4,12,89.23
Line-A,Type-Y,야간,217.96,221.82,1.304,63.6,0.002,102.1,215.1,8,88.47
Line-A,Type-Y,주간,200.04,197.05,1.432,56.7,0.048,141.0,295.5,9,91.61
Line-B,Type-Z,주간,214.83,,1.494,60.2,0.026,107.7,213.5,13,88.63
Line-C,Type-Z,주간,171.07,170.77,1.696,44.9,0.895,115.2,250.8,1,86.62
Line-B,Type-X,주간,228.2,231.61,1.319,60.5,0.033,90.7,180.1,12,91.34
Line-A,Type-Y,주간,187.84,185.09,1.93,,0.394,105.9,228.1,4,89.23
Line-C,Type-Z,주간,208.34,207.7,2.052,56.0,0.076,131.7,296.0,5,84.96
Line-C,Type-X,주간,196.86,194.71,0.889,57.1,0.772,131.5,272.9,6,89.28
Line-C,Type-Y,야간,237.32,233.27,1.645,53.2,0.048,133.3,293.9,14,86.02
Line-C,Type-X,야간,203.25,197.5,1.407,36.5,0.276,98.3,199.1,9,88.1
Line-C,Type-Y,주간,209.82,212.75,2.355,49.2,0.123,156.2,336.8,10,87.26
Line-B,Type-Y,주간,181.63,177.26,1.47,21.2,0.179,123.4,242.9,8,91.09
